match	repl	Gloss
ederke$	{{CASE}}	HUM.PL.OBJ
digəke$	{{CASE}}	HUM.PL.OBJ
guloke$	{{CASE}}	NHUM.PL.OBJ
gulike$	{{CASE}}	NHUM.PL.OBJ
gulote$	{{CASE}}	NHUM.PL.LOC
gulite$	{{CASE}}	NHUM.PL.LOC
derke$	{{CASE}}	HUM.PL.OBJ
diger$	{{CASE}}	HUM.PL.GEN
gulor$	{{CASE}}	NHUM.PL.GEN
gulir$	{{CASE}}	NHUM.PL.GEN
gulo$	{{CASE}}	NHUM.PL.NOM
guli$	{{CASE}}	NHUM.PL.NOM
eder$	{{CASE}}	HUM.OBJ
digə$	{{CASE}}	HUM.OBJ
era$	{{CASE}}	HUM.PL.NOM
der$	{{CASE}}	HUM.PL.OBJ
ra$	{{CASE}}	HUM.PL.NOM
re$	{{CASE}}	SG.OBJ
er$	{{CASE}}	SG.GEN
te$	{{CASE}}	SG.LOC
ke$	{{CASE}}	SG.OBJ
{{CASE}}$		end case marking
kʰana$	{{CLF}}	CLF
kʰani$	{{CLF}}	CLF
gulo$	{{CLF}}	CLF
guli$	{{CLF}}	CLF
ʈuku$	{{CLF}}	CLF
jon$	{{CLF}}	CLF
ʈa$	{{CLF}}	CLF
ʈi$	{{CLF}}	CLF
{{CLF}}$		end classifier
