match	match	repl	Gloss
ederke$	এডেরকে$	{{CASE}}	ACC
d̪iɡke$	দিগকে$	{{CASE}}	ACC
ɡul̪ke$	গুলোকে$	{{CASE}}	HUM.ACC
ɡul̪ike$	গুলিকে$	{{CASE}}	HUM.ACC
ɡul̪t̪e$	গুলোতে$	{{CASE}}	HUM.AT
ɡul̪it̪e$	গুলিতে$	{{CASE}}	HUM.AT
derke$	ডেরকে$	{{CASE}}	ACC
ɡul̪iro$	গুলির$	{{CASE}}	HUM.GEN
d̪iɡero$	দিগের$	{{CASE}}	GEN
ɡul̪ro$	গুলোর$	{{CASE}}	HUM.GEN
ɡu$	গগুলোর$	{{CASE}}	HUM.GEN
ɡul̪o$	গুলো$	{{CASE}}	HUM.NOM
ɡul̪i$	গুলি$	{{CASE}}	HUM.NOM
edero$	এডের$	{{CASE}}	ACC
d̪iɡo$	দিগ$	{{CASE}}	ACC
era$	এরা$	{{CASE}}	NOM
dero$	ডের$	{{CASE}}	ACC
ra$	রা$	{{CASE}}	NOM
re$	রে$	{{CASE}}	ACC
ero$	এর$	{{CASE}}	GEN
t̪e$	তে$	{{CASE}}	AT
ke$	কে$	{{CASE}}	AT
ro$	র$	{{CASE}}	GEN
e$	এ$	{{CASE}}	AT
{{CASE}}$	{{CASE}}$		end case marking
kʰan̪a$	খানা$	{{CLF}}	CL
kʰan̪i$	খানি$	{{CLF}}	CL
ɡul̪o$	গুলো$	{{CLF}}	CL
ɡul̪i$	গুলি$	{{CLF}}	CL
tuku$	টুকু$	{{CLF}}	CL
d͡zon̪o$	যোন$	{{CLF}}	CL
ta$	টা$	{{CLF}}	CL
ti$	টি$	{{CLF}}	CL
{{CLF}}$	{{CLF}}$		end classifier
